fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
2,A1_WDI_only,Bayes_Partial,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
3,A1_WDI_only,Bayes_Partial,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A1_WDI_only,Bayes_Partial,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A1_WDI_only,Bayes_Partial,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
1,A1_WDI_only,Bayes_Complete,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
2,A1_WDI_only,Bayes_Complete,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
3,A1_WDI_only,Bayes_Complete,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A1_WDI_only,Bayes_Complete,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A1_WDI_only,Bayes_Complete,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
1,A2_WDI_PCA1,RandomForest,4.652362550530098,3.375863810049716,0.9324486896505815,0.8838734859360582,346,74
2,A2_WDI_PCA1,RandomForest,3.318518189688588,2.4430056854999904,0.9570656229117429,0.6695633619896207,409,74
3,A2_WDI_PCA1,RandomForest,5.043221423337469,3.908099405218151,0.7793130325350904,1.1970206503817635,472,74
4,A2_WDI_PCA1,RandomForest,3.0761310498455736,2.4425159381342545,0.9313002577868895,0.7999074379546224,535,74
5,A2_WDI_PCA1,RandomForest,4.943189726947559,3.192351466506917,0.8056713733859966,1.0736254725167536,598,74
1,A2_WDI_PCA1,XGBoost,3.3076556350016326,2.150337682803034,0.9658549894059987,0.5630044843576771,346,74
2,A2_WDI_PCA1,XGBoost,2.41326261478843,1.65777755486262,0.9772947686458681,0.4543530617439298,409,74
3,A2_WDI_PCA1,XGBoost,3.155683639804762,2.2554777388195357,0.9135932777683975,0.690835403582229,472,74
4,A2_WDI_PCA1,XGBoost,2.886648128953491,2.1178607189297085,0.9395030977333928,0.6935850510428403,535,74
5,A2_WDI_PCA1,XGBoost,3.5692282190327482,2.170449384387742,0.898685674379727,0.7299477423883889,598,74
1,A2_WDI_PCA1,SARIMAX,2.638925451337466,1.9016641260960818,0.9782659371350617,0.49789641845395954,346,74
2,A2_WDI_PCA1,SARIMAX,2.2127066932336192,1.483666416847685,0.9809118226897374,0.4066337954233279,409,74
3,A2_WDI_PCA1,SARIMAX,2.4664030462261572,1.7509108560579774,0.9472176514224413,0.5362904661228847,472,74
4,A2_WDI_PCA1,SARIMAX,1.8626272334460199,1.2989915015129267,0.9748117881377928,0.42541092472614195,535,74
5,A2_WDI_PCA1,SARIMAX,3.4379316373959625,1.9248696122100386,0.9060024151192736,0.6473563668111432,598,74
1,A2_WDI_PCA1,LSTM,2.581025878396334,1.9376435329233552,0.9792091907745741,0.5073165981542377,346,74
2,A2_WDI_PCA1,LSTM,1.7215781742835097,1.3227371844193023,0.988444991808382,0.36252734141599546,409,74
3,A2_WDI_PCA1,LSTM,2.140240983046011,1.609920502488534,0.96025468289801,0.4931062102408802,472,74
4,A2_WDI_PCA1,LSTM,2.0288184544653616,1.5670129109296738,0.9701164757420301,0.5131861222494396,535,74
5,A2_WDI_PCA1,LSTM,2.731618325424657,1.6082397464424367,0.940657989340705,0.5408700062665057,598,74
1,A2_WDI_PCA1,Bayes_Partial,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
2,A2_WDI_PCA1,Bayes_Partial,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
3,A2_WDI_PCA1,Bayes_Partial,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A2_WDI_PCA1,Bayes_Partial,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A2_WDI_PCA1,Bayes_Partial,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
1,A2_WDI_PCA1,Bayes_Complete,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
2,A2_WDI_PCA1,Bayes_Complete,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
